batch,context_length,nhead,kv_head,topk,bf16_latency_ms,fp8_latency_ms,bf16_TFLOPS,fp8_TFLOPS
16,4096,128,1,1024,0.0777,0.0809,58.7,56.4
16,16384,128,1,1024,0.0744,0.0810,61.3,56.3
16,65536,128,1,1024,0.0725,0.0767,62.9,59.5
16,262144,128,1,1024,0.0751,0.0769,60.8,59.3
64,4096,128,1,1024,0.0744,0.0775,245.5,235.4
64,16384,128,1,1024,0.0728,0.0754,250.7,242.2
64,65536,128,1,1024,0.0736,0.0758,247.9,240.7
64,262144,128,1,1024,0.0737,0.0774,247.8,235.8
128,4096,128,1,1024,0.0886,0.0763,412.2,478.2
128,16384,128,1,1024,0.0890,0.0763,410.2,478.6
128,65536,128,1,1024,0.0889,0.0781,410.7,467.5
128,262144,128,1,1024,0.0868,0.0829,420.4,440.3
256,4096,128,1,1024,0.0939,0.0775,777.7,941.7
256,16384,128,1,1024,0.1026,0.0766,711.9,952.7
256,65536,128,1,1024,0.1059,0.0770,689.6,948.4
256,262144,128,1,1024,0.1011,0.0800,722.0,912.3
512,4096,128,1,1024,0.2043,0.1423,714.7,1026.4
512,16384,128,1,1024,0.2108,0.1442,692.8,1013.0
512,65536,128,1,1024,0.2109,0.1414,692.4,1032.4
512,262144,128,1,1024,0.2150,0.1521,679.2,960.2
1024,4096,128,1,1024,0.4114,0.3045,710.0,959.0
1024,16384,128,1,1024,0.4112,0.3027,710.3,964.9
1024,65536,128,1,1024,0.4161,0.2819,701.8,1036.1
1024,262144,128,1,1024,0.4173,0.3070,699.9,951.2
